final_row_index_0_based,interval_id,model_family,run_version,interval_number,start_round,end_round
64,DeepSeek-V3__V1__I065,DeepSeek-V3,V1,65,641,650
65,DeepSeek-V3__V1__I066,DeepSeek-V3,V1,66,651,660
66,DeepSeek-V3__V1__I067,DeepSeek-V3,V1,67,661,670
67,DeepSeek-V3__V1__I068,DeepSeek-V3,V1,68,671,680
68,DeepSeek-V3__V1__I069,DeepSeek-V3,V1,69,681,690
69,DeepSeek-V3__V1__I070,DeepSeek-V3,V1,70,691,700
70,DeepSeek-V3__V1__I071,DeepSeek-V3,V1,71,701,710
71,DeepSeek-V3__V1__I072,DeepSeek-V3,V1,72,711,720
72,DeepSeek-V3__V1__I073,DeepSeek-V3,V1,73,721,730
73,DeepSeek-V3__V1__I074,DeepSeek-V3,V1,74,731,740
74,DeepSeek-V3__V1__I075,DeepSeek-V3,V1,75,741,750
75,DeepSeek-V3__V1__I076,DeepSeek-V3,V1,76,751,760
76,DeepSeek-V3__V1__I077,DeepSeek-V3,V1,77,761,770
77,DeepSeek-V3__V1__I078,DeepSeek-V3,V1,78,771,780
78,DeepSeek-V3__V1__I079,DeepSeek-V3,V1,79,781,790
79,DeepSeek-V3__V1__I080,DeepSeek-V3,V1,80,791,800
80,DeepSeek-V3__V1__I081,DeepSeek-V3,V1,81,801,810
81,DeepSeek-V3__V1__I082,DeepSeek-V3,V1,82,811,820
82,DeepSeek-V3__V1__I083,DeepSeek-V3,V1,83,821,830
83,DeepSeek-V3__V1__I084,DeepSeek-V3,V1,84,831,840
84,DeepSeek-V3__V1__I085,DeepSeek-V3,V1,85,841,850
85,DeepSeek-V3__V1__I086,DeepSeek-V3,V1,86,851,860
86,DeepSeek-V3__V1__I087,DeepSeek-V3,V1,87,861,870
87,DeepSeek-V3__V1__I088,DeepSeek-V3,V1,88,871,880
88,DeepSeek-V3__V1__I089,DeepSeek-V3,V1,89,881,890
89,DeepSeek-V3__V1__I090,DeepSeek-V3,V1,90,891,900
90,DeepSeek-V3__V1__I091,DeepSeek-V3,V1,91,901,910
91,DeepSeek-V3__V1__I092,DeepSeek-V3,V1,92,911,920
92,DeepSeek-V3__V1__I093,DeepSeek-V3,V1,93,921,930
93,DeepSeek-V3__V1__I094,DeepSeek-V3,V1,94,931,940
94,DeepSeek-V3__V1__I095,DeepSeek-V3,V1,95,941,950
95,DeepSeek-V3__V1__I096,DeepSeek-V3,V1,96,951,960
96,DeepSeek-V3__V1__I097,DeepSeek-V3,V1,97,961,970
97,DeepSeek-V3__V1__I098,DeepSeek-V3,V1,98,971,980
98,DeepSeek-V3__V1__I099,DeepSeek-V3,V1,99,981,990
99,DeepSeek-V3__V1__I100,DeepSeek-V3,V1,100,991,1000
100,DeepSeek-V3__V2__I001,DeepSeek-V3,V2,1,1,10
101,DeepSeek-V3__V2__I002,DeepSeek-V3,V2,2,11,20
102,DeepSeek-V3__V2__I003,DeepSeek-V3,V2,3,21,30
103,DeepSeek-V3__V2__I004,DeepSeek-V3,V2,4,31,40
104,DeepSeek-V3__V2__I005,DeepSeek-V3,V2,5,41,50
105,DeepSeek-V3__V2__I006,DeepSeek-V3,V2,6,51,60
106,DeepSeek-V3__V2__I007,DeepSeek-V3,V2,7,61,70
107,DeepSeek-V3__V2__I008,DeepSeek-V3,V2,8,71,80
108,DeepSeek-V3__V2__I009,DeepSeek-V3,V2,9,81,90
109,DeepSeek-V3__V2__I010,DeepSeek-V3,V2,10,91,100
110,DeepSeek-V3__V2__I011,DeepSeek-V3,V2,11,101,110
111,DeepSeek-V3__V2__I012,DeepSeek-V3,V2,12,111,120
112,DeepSeek-V3__V2__I013,DeepSeek-V3,V2,13,121,130
113,DeepSeek-V3__V2__I014,DeepSeek-V3,V2,14,131,140
114,DeepSeek-V3__V2__I015,DeepSeek-V3,V2,15,141,150
115,DeepSeek-V3__V2__I016,DeepSeek-V3,V2,16,151,160
116,DeepSeek-V3__V2__I017,DeepSeek-V3,V2,17,161,170
117,DeepSeek-V3__V2__I018,DeepSeek-V3,V2,18,171,180
118,DeepSeek-V3__V2__I019,DeepSeek-V3,V2,19,181,190
119,DeepSeek-V3__V2__I020,DeepSeek-V3,V2,20,191,200
120,DeepSeek-V3__V2__I021,DeepSeek-V3,V2,21,201,210
121,DeepSeek-V3__V2__I022,DeepSeek-V3,V2,22,211,220
122,DeepSeek-V3__V2__I023,DeepSeek-V3,V2,23,221,230
123,DeepSeek-V3__V2__I024,DeepSeek-V3,V2,24,231,240
124,DeepSeek-V3__V2__I025,DeepSeek-V3,V2,25,241,250
125,DeepSeek-V3__V2__I026,DeepSeek-V3,V2,26,251,260
126,DeepSeek-V3__V2__I027,DeepSeek-V3,V2,27,261,270
127,DeepSeek-V3__V2__I028,DeepSeek-V3,V2,28,271,280
128,DeepSeek-V3__V2__I029,DeepSeek-V3,V2,29,281,290
129,DeepSeek-V3__V2__I030,DeepSeek-V3,V2,30,291,300
130,DeepSeek-V3__V2__I031,DeepSeek-V3,V2,31,301,310
131,DeepSeek-V3__V2__I032,DeepSeek-V3,V2,32,311,320
132,DeepSeek-V3__V2__I033,DeepSeek-V3,V2,33,321,330
133,DeepSeek-V3__V2__I034,DeepSeek-V3,V2,34,331,340
134,DeepSeek-V3__V2__I035,DeepSeek-V3,V2,35,341,350
135,DeepSeek-V3__V2__I036,DeepSeek-V3,V2,36,351,360
136,DeepSeek-V3__V2__I037,DeepSeek-V3,V2,37,361,370
137,DeepSeek-V3__V2__I038,DeepSeek-V3,V2,38,371,380
138,DeepSeek-V3__V2__I039,DeepSeek-V3,V2,39,381,390
139,DeepSeek-V3__V2__I040,DeepSeek-V3,V2,40,391,400
140,DeepSeek-V3__V2__I041,DeepSeek-V3,V2,41,401,410
141,DeepSeek-V3__V2__I042,DeepSeek-V3,V2,42,411,420
142,DeepSeek-V3__V2__I043,DeepSeek-V3,V2,43,421,430
143,DeepSeek-V3__V2__I044,DeepSeek-V3,V2,44,431,440
144,DeepSeek-V3__V2__I045,DeepSeek-V3,V2,45,441,450
145,DeepSeek-V3__V2__I046,DeepSeek-V3,V2,46,451,460
146,DeepSeek-V3__V2__I047,DeepSeek-V3,V2,47,461,470
147,DeepSeek-V3__V2__I048,DeepSeek-V3,V2,48,471,480
148,DeepSeek-V3__V2__I049,DeepSeek-V3,V2,49,481,490
149,DeepSeek-V3__V2__I050,DeepSeek-V3,V2,50,491,500
150,DeepSeek-V3__V2__I051,DeepSeek-V3,V2,51,501,510
151,DeepSeek-V3__V2__I052,DeepSeek-V3,V2,52,511,520
152,DeepSeek-V3__V2__I053,DeepSeek-V3,V2,53,521,530
153,DeepSeek-V3__V2__I054,DeepSeek-V3,V2,54,531,540
154,DeepSeek-V3__V2__I055,DeepSeek-V3,V2,55,541,550
155,DeepSeek-V3__V2__I056,DeepSeek-V3,V2,56,551,560
156,DeepSeek-V3__V2__I057,DeepSeek-V3,V2,57,561,570
157,DeepSeek-V3__V2__I058,DeepSeek-V3,V2,58,571,580
158,DeepSeek-V3__V2__I059,DeepSeek-V3,V2,59,581,590
159,DeepSeek-V3__V2__I060,DeepSeek-V3,V2,60,591,600
160,DeepSeek-V3__V2__I061,DeepSeek-V3,V2,61,601,610
161,DeepSeek-V3__V2__I062,DeepSeek-V3,V2,62,611,620
162,DeepSeek-V3__V2__I063,DeepSeek-V3,V2,63,621,630
163,DeepSeek-V3__V2__I064,DeepSeek-V3,V2,64,631,640
164,DeepSeek-V3__V2__I065,DeepSeek-V3,V2,65,641,650
165,DeepSeek-V3__V2__I066,DeepSeek-V3,V2,66,651,660
166,DeepSeek-V3__V2__I067,DeepSeek-V3,V2,67,661,670
167,DeepSeek-V3__V2__I068,DeepSeek-V3,V2,68,671,680
168,DeepSeek-V3__V2__I069,DeepSeek-V3,V2,69,681,690
169,DeepSeek-V3__V2__I070,DeepSeek-V3,V2,70,691,700
170,DeepSeek-V3__V2__I071,DeepSeek-V3,V2,71,701,710
171,DeepSeek-V3__V2__I072,DeepSeek-V3,V2,72,711,720
172,DeepSeek-V3__V2__I073,DeepSeek-V3,V2,73,721,730
173,DeepSeek-V3__V2__I074,DeepSeek-V3,V2,74,731,740
174,DeepSeek-V3__V2__I075,DeepSeek-V3,V2,75,741,750
175,DeepSeek-V3__V2__I076,DeepSeek-V3,V2,76,751,760
176,DeepSeek-V3__V2__I077,DeepSeek-V3,V2,77,761,770
177,DeepSeek-V3__V2__I078,DeepSeek-V3,V2,78,771,780
178,DeepSeek-V3__V2__I079,DeepSeek-V3,V2,79,781,790
179,DeepSeek-V3__V2__I080,DeepSeek-V3,V2,80,791,800
180,DeepSeek-V3__V2__I081,DeepSeek-V3,V2,81,801,810
181,DeepSeek-V3__V2__I082,DeepSeek-V3,V2,82,811,820
182,DeepSeek-V3__V2__I083,DeepSeek-V3,V2,83,821,830
183,DeepSeek-V3__V2__I084,DeepSeek-V3,V2,84,831,840
184,DeepSeek-V3__V2__I085,DeepSeek-V3,V2,85,841,850
185,DeepSeek-V3__V2__I086,DeepSeek-V3,V2,86,851,860
186,DeepSeek-V3__V2__I087,DeepSeek-V3,V2,87,861,870
187,DeepSeek-V3__V2__I088,DeepSeek-V3,V2,88,871,880
188,DeepSeek-V3__V2__I089,DeepSeek-V3,V2,89,881,890
189,DeepSeek-V3__V2__I090,DeepSeek-V3,V2,90,891,900
190,DeepSeek-V3__V2__I091,DeepSeek-V3,V2,91,901,910
191,DeepSeek-V3__V2__I092,DeepSeek-V3,V2,92,911,920
192,DeepSeek-V3__V2__I093,DeepSeek-V3,V2,93,921,930
193,DeepSeek-V3__V2__I094,DeepSeek-V3,V2,94,931,940
194,DeepSeek-V3__V2__I095,DeepSeek-V3,V2,95,941,950
195,DeepSeek-V3__V2__I096,DeepSeek-V3,V2,96,951,960
196,DeepSeek-V3__V2__I097,DeepSeek-V3,V2,97,961,970
197,DeepSeek-V3__V2__I098,DeepSeek-V3,V2,98,971,980
198,DeepSeek-V3__V2__I099,DeepSeek-V3,V2,99,981,990
199,DeepSeek-V3__V2__I100,DeepSeek-V3,V2,100,991,1000
200,DeepSeek-V3__V3__I001,DeepSeek-V3,V3,1,1,10
201,DeepSeek-V3__V3__I002,DeepSeek-V3,V3,2,11,20
202,DeepSeek-V3__V3__I003,DeepSeek-V3,V3,3,21,30
203,DeepSeek-V3__V3__I004,DeepSeek-V3,V3,4,31,40
204,DeepSeek-V3__V3__I005,DeepSeek-V3,V3,5,41,50
205,DeepSeek-V3__V3__I006,DeepSeek-V3,V3,6,51,60
206,DeepSeek-V3__V3__I007,DeepSeek-V3,V3,7,61,70
207,DeepSeek-V3__V3__I008,DeepSeek-V3,V3,8,71,80
208,DeepSeek-V3__V3__I009,DeepSeek-V3,V3,9,81,90
209,DeepSeek-V3__V3__I010,DeepSeek-V3,V3,10,91,100
210,DeepSeek-V3__V3__I011,DeepSeek-V3,V3,11,101,110
211,DeepSeek-V3__V3__I012,DeepSeek-V3,V3,12,111,120
212,DeepSeek-V3__V3__I013,DeepSeek-V3,V3,13,121,130
213,DeepSeek-V3__V3__I014,DeepSeek-V3,V3,14,131,140
214,DeepSeek-V3__V3__I015,DeepSeek-V3,V3,15,141,150
215,DeepSeek-V3__V3__I016,DeepSeek-V3,V3,16,151,160
216,DeepSeek-V3__V3__I017,DeepSeek-V3,V3,17,161,170
217,DeepSeek-V3__V3__I018,DeepSeek-V3,V3,18,171,180
218,DeepSeek-V3__V3__I019,DeepSeek-V3,V3,19,181,190
219,DeepSeek-V3__V3__I020,DeepSeek-V3,V3,20,191,200
220,DeepSeek-V3__V3__I021,DeepSeek-V3,V3,21,201,210
221,DeepSeek-V3__V3__I022,DeepSeek-V3,V3,22,211,220
222,DeepSeek-V3__V3__I023,DeepSeek-V3,V3,23,221,230
223,DeepSeek-V3__V3__I024,DeepSeek-V3,V3,24,231,240
224,DeepSeek-V3__V3__I025,DeepSeek-V3,V3,25,241,250
225,DeepSeek-V3__V3__I026,DeepSeek-V3,V3,26,251,260
226,DeepSeek-V3__V3__I027,DeepSeek-V3,V3,27,261,270
227,DeepSeek-V3__V3__I028,DeepSeek-V3,V3,28,271,280
228,DeepSeek-V3__V3__I029,DeepSeek-V3,V3,29,281,290
229,DeepSeek-V3__V3__I030,DeepSeek-V3,V3,30,291,300
230,DeepSeek-V3__V3__I031,DeepSeek-V3,V3,31,301,310
231,DeepSeek-V3__V3__I032,DeepSeek-V3,V3,32,311,320
232,DeepSeek-V3__V3__I033,DeepSeek-V3,V3,33,321,330
233,DeepSeek-V3__V3__I034,DeepSeek-V3,V3,34,331,340
234,DeepSeek-V3__V3__I035,DeepSeek-V3,V3,35,341,350
235,DeepSeek-V3__V3__I036,DeepSeek-V3,V3,36,351,360
236,DeepSeek-V3__V3__I037,DeepSeek-V3,V3,37,361,370
237,DeepSeek-V3__V3__I038,DeepSeek-V3,V3,38,371,380
238,DeepSeek-V3__V3__I039,DeepSeek-V3,V3,39,381,390
239,DeepSeek-V3__V3__I040,DeepSeek-V3,V3,40,391,400
240,DeepSeek-V3__V3__I041,DeepSeek-V3,V3,41,401,410
241,DeepSeek-V3__V3__I042,DeepSeek-V3,V3,42,411,420
242,DeepSeek-V3__V3__I043,DeepSeek-V3,V3,43,421,430
243,DeepSeek-V3__V3__I044,DeepSeek-V3,V3,44,431,440
244,DeepSeek-V3__V3__I045,DeepSeek-V3,V3,45,441,450
245,DeepSeek-V3__V3__I046,DeepSeek-V3,V3,46,451,460
246,DeepSeek-V3__V3__I047,DeepSeek-V3,V3,47,461,470
247,DeepSeek-V3__V3__I048,DeepSeek-V3,V3,48,471,480
248,DeepSeek-V3__V3__I049,DeepSeek-V3,V3,49,481,490
249,DeepSeek-V3__V3__I050,DeepSeek-V3,V3,50,491,500
250,DeepSeek-V3__V3__I051,DeepSeek-V3,V3,51,501,510
251,DeepSeek-V3__V3__I052,DeepSeek-V3,V3,52,511,520
252,DeepSeek-V3__V3__I053,DeepSeek-V3,V3,53,521,530
253,DeepSeek-V3__V3__I054,DeepSeek-V3,V3,54,531,540
254,DeepSeek-V3__V3__I055,DeepSeek-V3,V3,55,541,550
255,DeepSeek-V3__V3__I056,DeepSeek-V3,V3,56,551,560
256,DeepSeek-V3__V3__I057,DeepSeek-V3,V3,57,561,570
257,DeepSeek-V3__V3__I058,DeepSeek-V3,V3,58,571,580
258,DeepSeek-V3__V3__I059,DeepSeek-V3,V3,59,581,590
259,DeepSeek-V3__V3__I060,DeepSeek-V3,V3,60,591,600
260,DeepSeek-V3__V3__I061,DeepSeek-V3,V3,61,601,610
261,DeepSeek-V3__V3__I062,DeepSeek-V3,V3,62,611,620
262,DeepSeek-V3__V3__I063,DeepSeek-V3,V3,63,621,630
263,DeepSeek-V3__V3__I064,DeepSeek-V3,V3,64,631,640
264,DeepSeek-V3__V3__I065,DeepSeek-V3,V3,65,641,650
265,DeepSeek-V3__V3__I066,DeepSeek-V3,V3,66,651,660
266,DeepSeek-V3__V3__I067,DeepSeek-V3,V3,67,661,670
267,DeepSeek-V3__V3__I068,DeepSeek-V3,V3,68,671,680
268,DeepSeek-V3__V3__I069,DeepSeek-V3,V3,69,681,690
269,DeepSeek-V3__V3__I070,DeepSeek-V3,V3,70,691,700
270,DeepSeek-V3__V3__I071,DeepSeek-V3,V3,71,701,710
271,DeepSeek-V3__V3__I072,DeepSeek-V3,V3,72,711,720
272,DeepSeek-V3__V3__I073,DeepSeek-V3,V3,73,721,730
273,DeepSeek-V3__V3__I074,DeepSeek-V3,V3,74,731,740
274,DeepSeek-V3__V3__I075,DeepSeek-V3,V3,75,741,750
275,DeepSeek-V3__V3__I076,DeepSeek-V3,V3,76,751,760
276,DeepSeek-V3__V3__I077,DeepSeek-V3,V3,77,761,770
277,DeepSeek-V3__V3__I078,DeepSeek-V3,V3,78,771,780
278,DeepSeek-V3__V3__I079,DeepSeek-V3,V3,79,781,790
279,DeepSeek-V3__V3__I080,DeepSeek-V3,V3,80,791,800
280,DeepSeek-V3__V3__I081,DeepSeek-V3,V3,81,801,810
281,DeepSeek-V3__V3__I082,DeepSeek-V3,V3,82,811,820
282,DeepSeek-V3__V3__I083,DeepSeek-V3,V3,83,821,830
283,DeepSeek-V3__V3__I084,DeepSeek-V3,V3,84,831,840
284,DeepSeek-V3__V3__I085,DeepSeek-V3,V3,85,841,850
285,DeepSeek-V3__V3__I086,DeepSeek-V3,V3,86,851,860
286,DeepSeek-V3__V3__I087,DeepSeek-V3,V3,87,861,870
287,DeepSeek-V3__V3__I088,DeepSeek-V3,V3,88,871,880
288,DeepSeek-V3__V3__I089,DeepSeek-V3,V3,89,881,890
289,DeepSeek-V3__V3__I090,DeepSeek-V3,V3,90,891,900
290,DeepSeek-V3__V3__I091,DeepSeek-V3,V3,91,901,910
291,DeepSeek-V3__V3__I092,DeepSeek-V3,V3,92,911,920
292,DeepSeek-V3__V3__I093,DeepSeek-V3,V3,93,921,930
293,DeepSeek-V3__V3__I094,DeepSeek-V3,V3,94,931,940
294,DeepSeek-V3__V3__I095,DeepSeek-V3,V3,95,941,950
295,DeepSeek-V3__V3__I096,DeepSeek-V3,V3,96,951,960
296,DeepSeek-V3__V3__I097,DeepSeek-V3,V3,97,961,970
297,DeepSeek-V3__V3__I098,DeepSeek-V3,V3,98,971,980
298,DeepSeek-V3__V3__I099,DeepSeek-V3,V3,99,981,990
299,DeepSeek-V3__V3__I100,DeepSeek-V3,V3,100,991,1000
300,GPT-4o-mini__V1__I001,GPT-4o-mini,V1,1,1,10
301,GPT-4o-mini__V1__I002,GPT-4o-mini,V1,2,11,20
302,GPT-4o-mini__V1__I003,GPT-4o-mini,V1,3,21,30
303,GPT-4o-mini__V1__I004,GPT-4o-mini,V1,4,31,40
304,GPT-4o-mini__V1__I005,GPT-4o-mini,V1,5,41,50
305,GPT-4o-mini__V1__I006,GPT-4o-mini,V1,6,51,60
306,GPT-4o-mini__V1__I007,GPT-4o-mini,V1,7,61,70
307,GPT-4o-mini__V1__I008,GPT-4o-mini,V1,8,71,80
308,GPT-4o-mini__V1__I009,GPT-4o-mini,V1,9,81,90
309,GPT-4o-mini__V1__I010,GPT-4o-mini,V1,10,91,100
310,GPT-4o-mini__V1__I011,GPT-4o-mini,V1,11,101,110
311,GPT-4o-mini__V1__I012,GPT-4o-mini,V1,12,111,120
312,GPT-4o-mini__V1__I013,GPT-4o-mini,V1,13,121,130
313,GPT-4o-mini__V1__I014,GPT-4o-mini,V1,14,131,140
314,GPT-4o-mini__V1__I015,GPT-4o-mini,V1,15,141,150
315,GPT-4o-mini__V1__I016,GPT-4o-mini,V1,16,151,160
316,GPT-4o-mini__V1__I017,GPT-4o-mini,V1,17,161,170
317,GPT-4o-mini__V1__I018,GPT-4o-mini,V1,18,171,180
318,GPT-4o-mini__V1__I019,GPT-4o-mini,V1,19,181,190
319,GPT-4o-mini__V1__I020,GPT-4o-mini,V1,20,191,200
320,GPT-4o-mini__V1__I021,GPT-4o-mini,V1,21,201,210
321,GPT-4o-mini__V1__I022,GPT-4o-mini,V1,22,211,220
322,GPT-4o-mini__V1__I023,GPT-4o-mini,V1,23,221,230
323,GPT-4o-mini__V1__I024,GPT-4o-mini,V1,24,231,240
324,GPT-4o-mini__V1__I025,GPT-4o-mini,V1,25,241,250
325,GPT-4o-mini__V1__I026,GPT-4o-mini,V1,26,251,260
326,GPT-4o-mini__V1__I027,GPT-4o-mini,V1,27,261,270
327,GPT-4o-mini__V1__I028,GPT-4o-mini,V1,28,271,280
328,GPT-4o-mini__V1__I029,GPT-4o-mini,V1,29,281,290
329,GPT-4o-mini__V1__I030,GPT-4o-mini,V1,30,291,300
330,GPT-4o-mini__V1__I031,GPT-4o-mini,V1,31,301,310
331,GPT-4o-mini__V1__I032,GPT-4o-mini,V1,32,311,320
332,GPT-4o-mini__V1__I033,GPT-4o-mini,V1,33,321,330
333,GPT-4o-mini__V1__I034,GPT-4o-mini,V1,34,331,340
334,GPT-4o-mini__V1__I035,GPT-4o-mini,V1,35,341,350
335,GPT-4o-mini__V1__I036,GPT-4o-mini,V1,36,351,360
336,GPT-4o-mini__V1__I037,GPT-4o-mini,V1,37,361,370
337,GPT-4o-mini__V1__I038,GPT-4o-mini,V1,38,371,380
338,GPT-4o-mini__V1__I039,GPT-4o-mini,V1,39,381,390
339,GPT-4o-mini__V1__I040,GPT-4o-mini,V1,40,391,400
340,GPT-4o-mini__V1__I041,GPT-4o-mini,V1,41,401,410
341,GPT-4o-mini__V1__I042,GPT-4o-mini,V1,42,411,420
342,GPT-4o-mini__V1__I043,GPT-4o-mini,V1,43,421,430
343,GPT-4o-mini__V1__I044,GPT-4o-mini,V1,44,431,440
344,GPT-4o-mini__V1__I045,GPT-4o-mini,V1,45,441,450
345,GPT-4o-mini__V1__I046,GPT-4o-mini,V1,46,451,460
346,GPT-4o-mini__V1__I047,GPT-4o-mini,V1,47,461,470
347,GPT-4o-mini__V1__I048,GPT-4o-mini,V1,48,471,480
348,GPT-4o-mini__V1__I049,GPT-4o-mini,V1,49,481,490
349,GPT-4o-mini__V1__I050,GPT-4o-mini,V1,50,491,500
350,GPT-4o-mini__V1__I051,GPT-4o-mini,V1,51,501,510
351,GPT-4o-mini__V1__I052,GPT-4o-mini,V1,52,511,520
352,GPT-4o-mini__V1__I053,GPT-4o-mini,V1,53,521,530
353,GPT-4o-mini__V1__I054,GPT-4o-mini,V1,54,531,540
354,GPT-4o-mini__V1__I055,GPT-4o-mini,V1,55,541,550
355,GPT-4o-mini__V1__I056,GPT-4o-mini,V1,56,551,560
356,GPT-4o-mini__V1__I057,GPT-4o-mini,V1,57,561,570
357,GPT-4o-mini__V1__I058,GPT-4o-mini,V1,58,571,580
358,GPT-4o-mini__V1__I059,GPT-4o-mini,V1,59,581,590
359,GPT-4o-mini__V1__I060,GPT-4o-mini,V1,60,591,600
360,GPT-4o-mini__V1__I061,GPT-4o-mini,V1,61,601,610
361,GPT-4o-mini__V1__I062,GPT-4o-mini,V1,62,611,620
362,GPT-4o-mini__V1__I063,GPT-4o-mini,V1,63,621,630
363,GPT-4o-mini__V1__I064,GPT-4o-mini,V1,64,631,640
364,GPT-4o-mini__V1__I065,GPT-4o-mini,V1,65,641,650
365,GPT-4o-mini__V1__I066,GPT-4o-mini,V1,66,651,660
366,GPT-4o-mini__V1__I067,GPT-4o-mini,V1,67,661,670
367,GPT-4o-mini__V1__I068,GPT-4o-mini,V1,68,671,680
368,GPT-4o-mini__V1__I069,GPT-4o-mini,V1,69,681,690
369,GPT-4o-mini__V1__I070,GPT-4o-mini,V1,70,691,700
370,GPT-4o-mini__V1__I071,GPT-4o-mini,V1,71,701,710
371,GPT-4o-mini__V1__I072,GPT-4o-mini,V1,72,711,720
372,GPT-4o-mini__V1__I073,GPT-4o-mini,V1,73,721,730
373,GPT-4o-mini__V1__I074,GPT-4o-mini,V1,74,731,740
374,GPT-4o-mini__V1__I075,GPT-4o-mini,V1,75,741,750
375,GPT-4o-mini__V1__I076,GPT-4o-mini,V1,76,751,760
